log10_x,L_100,L_1000,dc,zero_line
11.44,-1.344440,-5.914631,-0.670000,0.0
11.46,2.101872,21.013220,-0.670000,0.0
11.48,-3.521876,2.742332,-0.670000,0.0
11.50,4.221806,-2.524083,-0.670000,0.0
11.52,-8.138199,-18.473334,-0.670000,0.0
11.54,5.647133,6.878674,-0.670000,0.0
11.56,1.454762,-3.122794,-0.670000,0.0
11.58,-3.102523,-10.834460,-0.670000,0.0
11.60,0.981278,-1.128270,-0.670000,0.0
11.62,1.248151,7.089101,-0.670000,0.0
11.64,-8.692505,6.186772,-0.670000,0.0
11.66,-0.791729,4.741709,-0.670000,0.0
11.68,0.131090,-7.973788,-0.670000,0.0
11.70,2.224521,-3.329606,-0.670000,0.0
11.72,4.223600,9.709219,-0.670000,0.0
11.74,-0.953949,2.230705,-0.670000,0.0
11.76,0.788552,-16.140643,-0.670000,0.0
11.78,-5.349179,-8.553662,-0.670000,0.0
11.80,0.426864,12.865065,-0.670000,0.0
11.82,2.212628,13.316075,-0.670000,0.0
11.84,3.599794,-17.712143,-0.670000,0.0
11.86,3.430759,1.233542,-0.670000,0.0
11.88,-1.834425,-3.684741,-0.670000,0.0
11.90,1.624285,-7.326600,-0.670000,0.0
11.92,-0.682131,-4.443406,-0.670000,0.0
11.94,-1.556027,-10.589863,-0.670000,0.0
11.96,1.204793,17.781631,-0.670000,0.0
11.98,-5.722399,-16.124915,-0.670000,0.0
